"assay_name","spot_number","analyte_name"
"V-PLEX Cytokine P1","1","GM-CSF"
"V-PLEX Cytokine P1","2","IL-1a"
"V-PLEX Cytokine P1","3","IL-5"
"V-PLEX Cytokine P1","4","IL-7"
"V-PLEX Cytokine P1","5","IL-12/23p40"
"V-PLEX Cytokine P1","6","IL-15"
"V-PLEX Cytokine P1","7","IL-16"
"V-PLEX Cytokine P1","8","IL-17A"
"V-PLEX Cytokine P1","9","TNF-b"
"V-PLEX Cytokine P1","10","VEGF"
"V-PLEX Proinfammatory P1","1","IFN-g"
"V-PLEX Proinfammatory P1","2","IL-1b"
"V-PLEX Proinfammatory P1","3","IL-2"
"V-PLEX Proinfammatory P1","4","IL-4"
"V-PLEX Proinfammatory P1","5","IL-6"
"V-PLEX Proinfammatory P1","6","IL-8"
"V-PLEX Proinfammatory P1","7","IL-10"
"V-PLEX Proinfammatory P1","8","IL-12p70"
"V-PLEX Proinfammatory P1","9","IL-13"
"V-PLEX Proinfammatory P1","10","TNF-a"
"U-PLEX Metabolic G1 (IP-10, IL-1RA, and BDNF)","1","IP-10"
"U-PLEX Metabolic G1 (IP-10, IL-1RA, and BDNF)","3","IL-1RA"
"U-PLEX Metabolic G1 (IP-10, IL-1RA, and BDNF)","10","BDNF"
"R-PLEX IL-6R","1","IL-6R"
"Dupli-R-PLEX TNF-Rs (TNF-RI and TNF-RII)","1","TNF-RI"
"Dupli-R-PLEX TNF-Rs (TNF-RI and TNF-RII)","10","TNF-RII"
"R-PLEX Calprotectin","1","Calprotectin"
"V-PLEX CRP","1","CRP"
"V-PLEX LBP","1","LBP"
"V-PLEX Vascular Injury P2","1","SAA"
"V-PLEX Vascular Injury P2","2","CRP"
"V-PLEX Vascular Injury P2","3","VCAM-1"
"V-PLEX Vascular Injury P2","4","ICAM-1"
"V-PLEX Chemokine P1","1","Eotaxin"
"V-PLEX Chemokine P1","2","MIP-1b"
"V-PLEX Chemokine P1","3","Eotaxin-3"
"V-PLEX Chemokine P1","4","TARC"
"V-PLEX Chemokine P1","5","IP-10"
"V-PLEX Chemokine P1","6","MIP-1a"
"V-PLEX Chemokine P1","7","IL-8(HA)"
"V-PLEX Chemokine P1","8","MCP-1"
"V-PLEX Chemokine P1","9","MDC"
"V-PLEX Chemokine P1","10","MCP-4"
"V-PLEX Th17 P1","1","IL-17A Gen. B"
"V-PLEX Th17 P1","2","BSA"
"V-PLEX Th17 P1","3","BSA"
"V-PLEX Th17 P1","4","IL-21"
"V-PLEX Th17 P1","5","IL-31"
"V-PLEX Th17 P1","6","IL-27"
"V-PLEX Th17 P1","7","IL-23"
"V-PLEX Th17 P1","8","IL-22"
"V-PLEX Th17 P1","9","BSA"
"V-PLEX Th17 P1","10","MIP-3a"
"R-PLEX BAFF-R","1","BAFF-R"
"R-PLEX PD-L2","1","PD-L2"
"R-PLEX PD1","1","PD1"
"U-PLEX BDNF","1","BDNF"
"ELISA ApoE","1","ApoE"
"ELISA B2M","1","B2M"
"ELISA BAFF","1","BAFF"
"ELISA CD14","1","CD14"
"ELISA HLA-E","1","HLA-E"
"ELISA IFABP","1","IFABP"
"ELISA LPS","1","LPS"
"ELISA S100B","1","S100B"
"ELISA Zonulin","1","Zonulin"
"V-PLEX Proinfammatory P1 Mouse","1","IFN-g"
"V-PLEX Proinfammatory P1 Mouse","2","IL-1b"
"V-PLEX Proinfammatory P1 Mouse","3","IL-2"
"V-PLEX Proinfammatory P1 Mouse","4","IL-4"
"V-PLEX Proinfammatory P1 Mouse","5","IL-5"
"V-PLEX Proinfammatory P1 Mouse","6","IL-6"
"V-PLEX Proinfammatory P1 Mouse","7","KC/GRO"
"V-PLEX Proinfammatory P1 Mouse","8","IL-10"
"V-PLEX Proinfammatory P1 Mouse","9","IL-12p70"
"V-PLEX Proinfammatory P1 Mouse","10","TNF-a"
"S-PLEX IL-1b","1","IL-1b"
