"assay_name","assay_type","species"
"Dupli-R-PLEX TNF-Rs (TNF-RI and TNF-RII)","MSD","Human"
"R-PLEX TNF-RI","MSD","Human"
"R-PLEX TNF-RII","MSD","Human"
"R-PLEX BAFF-R","MSD","Human"
"R-PLEX Calprotectin","MSD","Human"
"R-PLEX IL-6R","MSD","Human"
"R-PLEX PD-L2","MSD","Human"
"R-PLEX PD1","MSD","Human"
"U-PLEX BDNF","MSD","Human"
"U-PLEX Metabolic G1 (IP-10, IL-1RA, and BDNF)","MSD","Human"
"V-PLEX Chemokine P1","MSD","Human"
"V-PLEX CRP","MSD","Human"
"V-PLEX Cytokine P1","MSD","Human"
"V-PLEX LBP","MSD","Human"
"V-PLEX Proinfammatory P1","MSD","Human"
"V-PLEX Th17 P1","MSD","Human"
"V-PLEX Vascular Injury P2","MSD","Human"
"ELISA ApoE","ELISA","Human"
"ELISA B2M","ELISA","Human"
"ELISA BAFF","ELISA","Human"
"ELISA CD14","ELISA","Human"
"ELISA HLA-E","ELISA","Human"
"ELISA IFABP","ELISA","Human"
"ELISA LPS","ELISA","Human"
"ELISA S100B","ELISA","Human"
"ELISA Zonulin","ELISA","Human"
"V-PLEX Proinfammatory P1 Mouse","MSD","Mouse"
"S-PLEX IL-1b","MSD","Human"
