"assay_name","manufacturer","kit_cat_number","format"
"Dupli-R-PLEX TNF-Rs (TNF-RI and TNF-RII)","Mesoscale","F210V-3 and F21ZS-3","5PL"
"R-PLEX TNF-RI","Mesoscale","F210V",""
"R-PLEX TNF-RI","Mesoscale","F210V-3","5PL"
"R-PLEX TNF-RII","Mesoscale","F210V",""
"R-PLEX TNF-RII","Mesoscale","F210V-3","5PL"
"R-PLEX BAFF-R","Mesoscale","F21ZW",""
"R-PLEX BAFF-R","Mesoscale","F21ZW-3","5PL"
"R-PLEX Calprotectin","Mesoscale","F21YB",""
"R-PLEX IL-6R","Mesoscale","F210G",""
"R-PLEX IL-6R","Mesoscale","F210G-3","5PL"
"R-PLEX PD-L2","Mesoscale","F214D",""
"R-PLEX PD-L2","Mesoscale","F214D-3","5PL"
"R-PLEX PD1","Mesoscale","F214A",""
"R-PLEX PD1","Mesoscale","F214A-3","5PL"
"U-PLEX BDNF","Mesoscale","K1516WK",""
"U-PLEX BDNF","Mesoscale","K1516WK-2","5PL"
"U-PLEX Metabolic G1 (IP-10, IL-1RA, and BDNF)","Mesoscale","K151ACL","5PL"
"V-PLEX Chemokine P1","Mesoscale","K15047G",""
"V-PLEX Chemokine P1","Mesoscale","K15047G-1","1PL"
"V-PLEX Chemokine P1","Mesoscale","K15047G-2","5PL"
"V-PLEX CRP","Mesoscale","K151STG",""
"V-PLEX Cytokine P1","Mesoscale","K15050G",""
"V-PLEX Cytokine P1","Mesoscale","K15050G-1","1PL"
"V-PLEX Cytokine P1","Mesoscale","K15050G-2","5PL"
"V-PLEX LBP","Mesoscale","K151IYC",""
"V-PLEX Proinfammatory P1","Mesoscale","K15049G",""
"V-PLEX Proinfammatory P1","Mesoscale","K15049G-1","1PL"
"V-PLEX Proinfammatory P1","Mesoscale","K15049G-2","5PL"
"V-PLEX Th17 P1","Mesoscale","K15085G",""
"V-PLEX Th17 P1","Mesoscale","K15085G-1","1PL"
"V-PLEX Th17 P1","Mesoscale","K15085G-2","5PL"
"V-PLEX Vascular Injury P2","Mesoscale","K15198G",""
"V-PLEX Vascular Injury P2","Mesoscale","K15198G-1","1PL"
"V-PLEX Vascular Injury P2","Mesoscale","K15198G-2","5PL"
"ELISA ApoE","Abcam","AB108813",""
"ELISA B2M","BioVendor","RCD003R",""
"ELISA BAFF","R&D Systems","SBYS0B","6 plates"
"ELISA BAFF","R&D Systems","DBLYS0B","1 plate"
"ELISA CD14","R&D Systems","DC140",""
"ELISA HLA-E","Cloud-Clone Corp.","SEB752Hu",""
"ELISA IFABP","R&D Systems","DFBP20",""
"ELISA LPS","LEVELOP","DL-LPS-Ge",""
"ELISA S100B","Antibodyonline","ABIN6730907",""
"ELISA Zonulin","CUQABIO","CSB-EQ027649HU",""
"V-PLEX Proinfammatory P1 Mouse","Mesoscale","K15048D",""
"S-PLEX IL-1b","Mesoscale","K151ADSS",""
