"lot_number","qc_name","analyte","concentration","unit","qc_type","manufacturer","cat_number","expiration_date","preparation_date","note"
"A00C0646","V-PLEX Cytokine P1 QC1 (H)","GM-CSF","394","pg/ml","Purchased","Mesoscale","C4050-1","","",""
"A00C0646","V-PLEX Cytokine P1 QC1 (H)","IL-1a","174","pg/ml","Purchased","Mesoscale","C4050-1","","",""
"A00C0646","V-PLEX Cytokine P1 QC1 (H)","IL-5","326","pg/ml","Purchased","Mesoscale","C4050-1","","",""
"A00C0646","V-PLEX Cytokine P1 QC1 (H)","IL-7","342","pg/ml","Purchased","Mesoscale","C4050-1","","",""
"A00C0646","V-PLEX Cytokine P1 QC1 (H)","IL-12/23p40","1320","pg/ml","Purchased","Mesoscale","C4050-1","","",""
"A00C0646","V-PLEX Cytokine P1 QC1 (H)","IL-15","259","pg/ml","Purchased","Mesoscale","C4050-1","","",""
"A00C0646","V-PLEX Cytokine P1 QC1 (H)","IL-16","1270","pg/ml","Purchased","Mesoscale","C4050-1","","",""
"A00C0646","V-PLEX Cytokine P1 QC1 (H)","IL-17A","2590","pg/ml","Purchased","Mesoscale","C4050-1","","",""
"A00C0646","V-PLEX Cytokine P1 QC1 (H)","TNF-b","241","pg/ml","Purchased","Mesoscale","C4050-1","","",""
"A00C0646","V-PLEX Cytokine P1 QC1 (H)","VEGF","472","pg/ml","Purchased","Mesoscale","C4050-1","","",""
"A00C0647","V-PLEX Cytokine P1 QC2 (M)","GM-CSF","61.7","pg/ml","Purchased","Mesoscale","C4050-1","","",""
"A00C0647","V-PLEX Cytokine P1 QC2 (M)","IL-1a","57.6","pg/ml","Purchased","Mesoscale","C4050-1","","",""
"A00C0647","V-PLEX Cytokine P1 QC2 (M)","IL-5","103","pg/ml","Purchased","Mesoscale","C4050-1","","",""
"A00C0647","V-PLEX Cytokine P1 QC2 (M)","IL-7","52.4","pg/ml","Purchased","Mesoscale","C4050-1","","",""
